"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
9293,"2AK5","small_airport","Johnstone Point Airport",60.4817008972,-146.583999634,15,"NA","US","US-AK","Hinchinbrook","no","PAJO",,"2AK5",,,
9294,"2AK6","small_airport","Hog River Airport",66.2161026,-155.6690063,534,"NA","US","US-AK","Hogatza","no","2AK6","HGZ","2AK6",,,
9295,"2AK7","small_airport","Bald Mountain Airport",62.3073997497559,-149.751998901367,3600,"NA","US","US-AK","Talkeetna","no","2AK7",,"2AK7",,,
9296,"2AK8","small_airport","Icy Cape Afs Airport",70.2925033569336,-161.90299987793,48,"NA","US","US-AK","Icy Cape","no","2AK8",,"2AK8",,,
9297,"2AK9","small_airport","Independence Creek Airport",65.6735000610352,-162.464004516602,250,"NA","US","US-AK","Independence Creek","no","2AK9",,"2AK9",,,
9298,"2AL0","small_airport","Paulling Place Airstrip",32.3517990112305,-87.5456008911133,275,"NA","US","US-AL","Dayton","no","2AL0",,"2AL0",,,
9299,"2AL1","small_airport","Collier Airpark",30.4241008758545,-87.7778015136719,74,"NA","US","US-AL","Magnolia Springs","no","2AL1",,"2AL1",,,
9300,"2AL2","heliport","Randolph County Hospital Heliport",33.157299041748,-85.388801574707,500,"NA","US","US-AL","Roanoke","no","2AL2",,"2AL2",,,
9301,"2AL3","small_airport","Emerald Mountain Airport",32.4553985595703,-86.1192016601562,365,"NA","US","US-AL","Wetumpka","no","2AL3",,"2AL3",,,
9302,"2AL4","heliport","Petroleum Helicopters Inc Heliport",30.4311008453369,-88.17919921875,34,"NA","US","US-AL","Bayou Labatre","no","2AL4",,"2AL4",,,
9303,"2AL5","small_airport","Flying J Ranch Airport",34.3927993774414,-85.6650009155273,1430,"NA","US","US-AL","Fort Payne","no","2AL5",,"2AL5",,,
9304,"2AL6","small_airport","Dale O. Galer Aerodrome",30.4993000030518,-88.1981964111328,40,"NA","US","US-AL","Theodore","no","2AL6",,"2AL6",,,
9305,"2AL7","small_airport","Mount Aero Lake Farm Airport",34.062801361084,-86.7230987548828,625,"NA","US","US-AL","Hanceville","no","2AL7",,"2AL7",,,
9306,"2AL8","small_airport","Finkley Farm Airport",32.4211006164551,-85.2481002807617,413,"NA","US","US-AL","Phenix City","no","2AL8",,"2AL8",,,
45285,"2AN2","heliport","Ak-Chin Heliport",33.027222,-112.085278,1073,"NA","US","US-AZ","Maricopa","no","2AN2",,"2AN2",,,
9307,"2AR0","small_airport","Bully Henry Airport",34.8680992126465,-91.9742965698242,245,"NA","US","US-AR","Lonoke","no","2AR0",,"2AR0",,,
9308,"2AR1","small_airport","Seratt Airport",36.2920989990234,-94.0952987670898,1305,"NA","US","US-AR","Rogers","no","2AR1",,"2AR1",,,
9309,"2AR2","small_airport","Davidson Field",36.0152015686035,-91.7966003417969,835,"NA","US","US-AR","Sage","no","2AR2",,"2AR2",,,
9310,"2AR3","heliport","Stone County Medical Center Heliport",35.856201171875,-92.0829010009766,765,"NA","US","US-AR","Mountain View","no","2AR3",,"2AR3",,,
9311,"2AR4","small_airport","Jaynes Field",35.6707000732422,-90.5278015136719,212,"NA","US","US-AR","Trumann","no","2AR4",,"2AR4",,,
9312,"2AR5","small_airport","Ashmore Field",36.3830986022949,-94.2938995361328,1362,"NA","US","US-AR","Centerton","no","2AR5",,"2AR5",,,
9313,"2AR6","small_airport","Glenn Winchester Airport",33.8818016052246,-93.9284973144531,365,"NA","US","US-AR","Mineral Springs","no","2AR6",,"2AR6",,,
9314,"2AR7","small_airport","Head Airfield",33.8490982055664,-93.4791030883789,441,"NA","US","US-AR","Prescott","no","2AR7",,"2AR7",,,
9315,"2AR8","small_airport","L C Hickman Airport",36.3527984619141,-94.3330993652344,1380,"NA","US","US-AR","Centerton","no","2AR8",,"2AR8",,,
9316,"2AR9","heliport","Island Health Clinic Heliport",36.4550018310547,-93.7193984985352,1547,"NA","US","US-AR","Holiday Island","no","2AR9",,"2AR9",,,
9317,"2AZ0","heliport","Helicopter Transport Inc/Office Heliport",33.4500007629395,-111.980003356934,1160,"NA","US","US-AZ","Phoenix","no","2AZ0",,"2AZ0",,,
9318,"2AZ1","small_airport","Indian Hills Airpark",33.7592010498047,-113.61499786377,1866,"NA","US","US-AZ","Salome","no","2AZ1",,"2AZ1",,,
9319,"2AZ2","heliport","Sunstate-Glendale Helistop",33.5685997009277,-112.227996826172,1135,"NA","US","US-AZ","Peoria","no","2AZ2",,"2AZ2",,,
9320,"2AZ3","small_airport","El Mirage-Village Square Airport",33.6128005981445,-112.334999084473,1150,"NA","US","US-AZ","El Mirage","no","2AZ3",,"2AZ3",,,
